Название,Ссылка,Агентство по недвидимости которое продаёт,Ссылка на страница агентства на этом сайте
1245 N Germantown Pky,https://www.loopnet.com/Listing/1245-N-Germantown-Pky-Cordova-TN/35709259/,Marcus & Millichap,https://marcusmillichap.com/
520 I-35,https://www.loopnet.com/Listing/520-I-35-Round-Rock-TX/35461772/,StarPro Realty,https://www.fullcircle-realestate.com/
1710 N Marque Anne Dr,https://www.loopnet.com/Listing/1710-N-Marque-Anne-Dr-Baton-Rouge-LA/35638933/,Elifin Realty,http://elifinrealty.com/
2051 Dogwood St,https://www.loopnet.com/Listing/2051-Dogwood-St-Louisville-CO/35459780/,"Gibbons-White, Inc.",http://www.gibbonswhite.com/
5555 Carmichael Rd,https://www.loopnet.com/Listing/5555-Carmichael-Rd-Montgomery-AL/35315799/,JLL,https://www.us.jll.com/
164 Fort Couch Rd,https://www.loopnet.com/Listing/164-Fort-Couch-Rd-Pittsburgh-PA/35606161/,JLL,https://www.us.jll.com/
80 Cottontail Ln,https://www.loopnet.com/Listing/80-Cottontail-Ln-Somerset-NJ/35620198/,Colliers,http://www.colliers.com/
9110 E Nichols Ave,https://www.loopnet.com/Listing/9110-E-Nichols-Ave-Centennial-CO/35555120/,CBRE,https://www.cbre.com/
1980 Sproul Rd,https://www.loopnet.com/Listing/1980-Sproul-Rd-Broomall-PA/35505914/,Marcus & Millichap,https://marcusmillichap.com/
4 Properties,https://www.loopnet.com/Listing/Retail-Flex-Plaza-19121-Total-SF/35831838/,Wright Kingdom Real Estate,https://www.wkre.com/
16939 East Fwy,https://www.loopnet.com/Listing/16939-East-Fwy-Channelview-TX/35606080/,Marcus & Millichap,https://marcusmillichap.com/
730 Holiday Dr,https://www.loopnet.com/Listing/730-Holiday-Dr-Pittsburgh-PA/35507241/,CBRE,https://www.cbre.com/
6275 Joyce Dr,https://www.loopnet.com/Listing/6275-Joyce-Dr-Arvada-CO/35459778/,"Gibbons-White, Inc.",http://www.gibbonswhite.com/
65 Court St,https://www.loopnet.com/Listing/65-Court-St-Buffalo-NY/35442971/,Coldwell Banker Commercial Realty,https://www.cbcworldwide.com/
11302 Tanner Rd,https://www.loopnet.com/Listing/11302-Tanner-Rd-Houston-TX/27046724/,Aspire Commercial,https://aspire-cre.com/
2273 Washington Rd,https://www.loopnet.com/Listing/2273-Washington-Rd-Washington-IL/35293932/,Joseph & Camper Commercial,https://www.josephcamper.com/
682 US-202,https://www.loopnet.com/Listing/682-US-202-Bridgewater-NJ/35605425/,Marcus & Millichap,https://marcusmillichap.com/
2 Land Properties,https://www.loopnet.com/Listing/High-Density-Mixed-Use-Development-Sites/35214204/,JLL,https://www.us.jll.com/
3500 Decker Dr,https://www.loopnet.com/Listing/3500-Decker-Dr-Baytown-TX/35647716/,Global Real Estate Advisors,https://grea.com/
8 Griffin Rd N,https://www.loopnet.com/Listing/8-Griffin-Rd-N-Windsor-CT/34442654/,Colliers,http://www.colliers.com/
5665 McClelland Dr,https://www.loopnet.com/Listing/5665-McClelland-Dr-Baton-Rouge-LA/35749088/,Elifin Realty,http://elifinrealty.com/
2413 Idlewood Ln,https://www.loopnet.com/Listing/2413-Idlewood-Ln-Odessa-TX/35638955/,Berkadia,http://www.berkadia.com/
1001 N Grandview Ave,https://www.loopnet.com/Listing/1001-N-Grandview-Ave-Odessa-TX/35638934/,Berkadia,http://www.berkadia.com/
1737 La Annie Dr,https://www.loopnet.com/Listing/1737-La-Annie-Dr-Baton-Rouge-LA/35638926/,Elifin Realty,http://elifinrealty.com/
1155 Mitchell Bridge Rd,https://www.loopnet.com/Listing/1155-Mitchell-Bridge-Rd-Athens-GA/32932025/,Merit Realty Partners,https://www.meritrealtypartners.com/
4 Griffin Rd N,https://www.loopnet.com/Listing/4-Griffin-Rd-N-Windsor-CT/34442656/,Colliers,http://www.colliers.com/
309-337 Alexis Rd,https://www.loopnet.com/Listing/309-337-Alexis-Rd-Toledo-OH/34675671/,CMP Real Estate Group,http://www.cmprealestategroup.com/
310-312 Nesbit St,https://www.loopnet.com/Listing/310-312-Nesbit-St-Punta-Gorda-FL/31545538/,Ian Black Real Estate,http://www.ian-black.com/
